date_time,PM10,NO,NO2,NOXasNO2,O3,PM25
2021-01-01 00:00:00,27.5,20.92937,38.37475,70.466,16.81045,24.4
2021-01-01 01:00:00,61.7,6.0364,31.40525,40.66093,17.71516,67.4
2021-01-01 02:00:00,25.8,3.36416,21.27606,26.43437,30.83357,24.4
2021-01-01 03:00:00,14.2,3.38563,21.6773,26.86853,28.39881,14.4
2021-01-01 04:00:00,19.2,3.0349,20.14869,24.80214,29.4715,19.4
2021-01-01 05:00:00,20.8,3.82942,21.27712,27.14881,28.71812,22.4
2021-01-01 06:00:00,10.8,4.33762,17.10154,23.75246,30.36957,17.4
2021-01-01 07:00:00,12.5,4.44499,23.43834,30.25389,26.81722,20.4
2021-01-01 08:00:00,15.0,5.58665,23.81465,32.38073,26.66255,15.4
2021-01-01 09:00:00,20.8,6.01612,22.81541,32.03999,28.01963,19.4
2021-01-01 10:00:00,20.0,11.49183,29.85689,47.47745,21.42883,25.4
2021-01-01 11:00:00,25.0,9.59501,26.69254,41.40469,19.17868,25.4
2021-01-01 12:00:00,26.7,11.66003,29.97269,47.85115,11.99416,30.4
2021-01-01 13:00:00,30.8,27.47158,40.10981,82.23232,4.53523,34.4
2021-01-01 14:00:00,28.3,25.77877,37.57243,77.09933,4.1311,32.4
2021-01-01 15:00:00,30.8,55.07201,45.89371,130.33628,2.42977,35.4
2021-01-01 16:00:00,31.7,60.04309,50.8127,142.87749,1.45187,32.4
2021-01-01 17:00:00,29.2,38.75941,45.51033,104.9406,2.20525,30.4
2021-01-01 18:00:00,22.5,23.9428,37.51879,74.23057,3.28293,20.4
2021-01-01 19:00:00,25.0,25.2312,39.54415,78.23144,2.00568,21.4
2021-01-01 20:00:00,17.5,32.56077,44.41905,94.34487,7.49385,17.4
2021-01-01 21:00:00,17.5,27.07433,39.44393,80.95732,14.8979,10.4
2021-01-01 22:00:00,14.2,13.10949,29.65724,49.75817,25.82935,11.4
2021-01-01 23:00:00,8.3,14.89535,24.85805,47.69727,26.06384,10.4
2021-01-02 00:00:00,10.8,17.80797,25.46645,52.77162,22.62459,8.4
2021-01-02 01:00:00,9.2,14.57343,27.50652,49.85213,21.52695,11.4
2021-01-02 02:00:00,12.5,5.2184,26.44195,34.44339,22.98049,8.4
2021-01-02 03:00:00,6.7,2.07011,15.65081,18.82493,32.64466,5.4
2021-01-02 04:00:00,8.3,3.8527,24.88249,30.78988,32.52991,4.4
2021-01-02 05:00:00,10.0,8.98485,30.82709,44.60366,25.02608,4.4
2021-01-02 06:00:00,13.3,13.58509,26.53845,47.36863,23.24991,6.4
2021-01-02 07:00:00,13.3,25.68948,49.34824,88.73822,13.48594,6.4
2021-01-02 08:00:00,9.2,44.36359,45.81491,113.83813,10.79175,5.4
