Borough,Outer/Inner,Number of sites,exceed_legal_limit(40ugm-3),percent_exceed_legal_limit,exceed_who_limit(10ugm-3),percent_exceed_who_limit,AVG_Concentration_roadside,AVG_Concentration_background
Barking and Dagenham,Outer,28.0,0.0,0.0,28.0,1.0,29.416666666666668,13.516666666666666
Barnet,Outer,15.0,1.0,0.06666666666666667,15.0,1.0,29.16369474639881,29.450257305929533
Brent ,Outer,45.0,12.0,0.26666666666666666,45.0,1.0,35.49302325581395,25.15
Bromley,Outer,32.0,1.0,0.03125,32.0,1.0,24.671874999999996,15.1171875
Camden,Inner,241.0,10.0,0.04149377593360996,241.0,1.0,25.636386554621854,19.823333333333334
City,Inner,88.0,7.0,0.07954545454545454,88.0,1.0,31.897222222222215,25.408333333333335
Croydon,Outer,30.0,4.0,0.13333333333333333,29.0,0.9666666666666667,27.16,13.6
Ealing,Outer,60.0,3.0,0.05,60.0,1.0,28.345454545454544,21.4
Enfield,Outer,21.0,2.0,0.09523809523809523,21.0,1.0,45.6,17.76666666666667
Greenwich,Inner,42.0,0.0,0.0,42.0,1.0,26.08166666666667,16.105833333333333
H & F,Inner,56.0,7.0,0.125,56.0,1.0,27.842553191489365,19.585714285714285
Hackney,Inner,137.0,6.0,0.043795620437956206,137.0,1.0,25.32661498708011,23.8625
Haringey,Outer,35.0,3.0,0.08571428571428572,35.0,1.0,28.909803921568624,26.4
Harrow,Outer,4.0,0.0,0.0,4.0,1.0,26.55,14.05
Hillingdon,Outer,44.0,2.0,0.045454545454545456,44.0,1.0,29.375757575757586,27.272727272727273
Hounslow,Outer,69.0,2.0,0.028985507246376812,69.0,1.0,25.691812865497067,19.28888888888889
Islington,Inner,20.0,0.0,0.0,20.0,1.0,28.73333333333333,19.8
Kensington & Chelsea,Inner,75.0,12.0,0.16,75.0,1.0,31.62881355932203,21.16363636363636
Kingston Upon Thames,Outer,40.0,2.0,0.05,40.0,1.0,25.20825,18.043041666666667
Lambeth,Inner,125.0,15.0,0.12,125.0,1.0,29.416528925619833,22.675
Lewisham,Inner,140.0,0.0,0.0,140.0,1.0,22.153074433656954,17.967567567567567
Merton,Outer,61.0,9.0,0.14754098360655737,61.0,1.0,32.65555555555555,14.0
Newham,Inner,131.0,1.0,0.007633587786259542,131.0,1.0,26.529411764705884,21.641770833333336
Redbridge,Outer,23.0,1.0,0.043478260869565216,23.0,1.0,30.437499999999993,17.049999999999997
Richmond,Outer,64.0,3.0,0.046875,64.0,1.0,27.306451612903224,12.5
Southwark,Inner,87.0,7.0,0.08045977011494253,87.0,1.0,27.198809523809523,23.7
Sutton,Outer,26.0,1.0,0.038461538461538464,26.0,1.0,28.101666666666667,17.32
Tower Hamlets,Inner,91.0,4.0,0.04395604395604396,91.0,1.0,27.45402298850574,21.95
Waltham Forest,Outer,60.0,0.0,0.0,60.0,1.0,25.58474576271187,24.430790960451976
Wandsworth,Inner,52.0,4.0,0.07692307692307693,52.0,1.0,28.05,18.636363636363637
Westminster,Inner,27.0,1.0,0.037037037037037035,27.0,1.0,30.75757575757575,23.166666666666664
