Site ID ,Site Name,Site Type,valid_data_percent,Jan,Feb,Mar,Apr,May,June,Aug,Sept,Oct,Nov,Dec,Average
HF06,New Kings Road,Roadside,90.4,29.7,31.0,43.6,37.1,34.3,26.1,36.7,36.0,31.4,36.9,37.8,34.6
HF07,Fulham Road,Roadside,90.4,71.6,47.4,56.6,49.2,48.4,43.9,56.9,56.9,52.9,52.0,61.5,54.3
HF09,Paddenswick Road,Roadside,90.4,52.8,33.3,49.9,27.8,28.3,25.1,35.1,35.9,33.4,38.7,41.9,36.56
HF14,King Street,Roadside,90.4,58.4,39.7,46.0,32.3,39.1,34.9,39.5,39.6,39.3,40.7,26.1,39.6
HF15,Hemlock Road,Roadside,90.4,27.1,24.0,33.8,27.1,20.1,15.7,28.5,27.1,17.3,29.1,28.7,25.32
HF16,Wood Lane,Roadside,90.4,64.4,50.3,63.9,40.7,57.1,54.4,63.0,58.1,52.6,53.8,57.4,55.97
HF17,Coningham Road,Roadside,90.4,46.3,26.7,35.2,26.2,23.4,18.7,29.4,25.6,28.2,28.9,29.6,28.93
HF19,Askew Road,Roadside,90.4,47.5,46.4,49.4,36.9,42.0,34.4,41.6,43.9,37.6,43.3,49.4,42.95
HF20,Lefroy Road,Urban Background,90.4,42.1,24.1,34.3,22.1,17.9,14.5,19.7,20.9,19.6,28.5,29.4,24.83
HF21,Shepherd’s Bush AQMS,Roadside,90.4,52.8,44.1,46.3,37.5,44.5,40.0,49.0,49.6,45.7,46.6,59.5,46.87
HF24,Lillie Road,Roadside,90.4,39.287499999999994,39.287499999999994,44.4,29.4,28.5,26.4,32.8,31.0,31.4,39.287499999999994,39.287499999999994,34.64
HF25,Eel Brook Common,Urban Background,90.4,34.9,23.5,30.0,20.6,18.5,30.527272727272727,21.7,21.1,17.2,30.5,27.4,25.08
HF26,Bryony Road,Urban Background,90.4,41.5,25.1,37.8,22.7,18.8,14.6,22.8,25.5,23.5,25.9,33.9,26.55
HF27,Du Cane Road,Roadside,90.4,47.3,36.3,45.8,32.2,31.4,24.5,36.0,35.9,35.7,36.3,43.0,36.76
HF28,Lillie Road,Roadside,90.4,38.6,34.7,48.0,36.1,31.5,28.2,37.0,34.1,29.2,38.0,36.9,35.66
HF29,Fulham Broadway,Roadside,90.4,60.7,40.6,47.5,35.0,40.7,34.1,42.2,39.1,44.6,45.3,46.7,43.32
HF30,Addison Gardens,Urban Background,90.4,51.8,27.0,35.8,25.4,21.9,18.0,26.7,27.8,24.3,32.0,35.2,29.63
HF31,Bloemfontein Road,Roadside,90.4,57.4,42.6,60.1,49.7,38.7,32.2,56.2,54.5,39.1,45.5,52.9,48.08
HF32,Valliere Road,Urban Background,90.4,41.5,34.7,38.3,23.2,25.1,19.3,26.8,28.3,29.2,37.2,35.5,30.83
HF35,Talgarth Road,Roadside,90.4,49.4,40.627272727272725,48.2,35.6,30.7,29.1,39.0,31.2,29.5,33.7,30.1,36.1
HF37,Fulham Palace Road (south),Roadside,90.4,72.2,41.5,59.5,38.6,31.1,37.4,46.2,51.7,48.7,48.5,52.9,48.03
HF38,Filmer Road,Roadside,90.4,31.39090909090909,23.7,35.2,21.8,19.4,16.1,24.0,26.9,24.3,27.7,35.8,26.03
HF39,Butterwick (a),Roadside,90.4,73.1,41.5,62.7,46.6,49.5,42.5,61.2,48.3,47.0,47.6,52.8,52.07
HF40,Hammersmith Grove,Roadside,90.4,21.4,23.8,32.2,22.2,18.4,16.4,22.1,24.3,23.6,29.3,30.3,24.0
HF41,Hammersmith Town Centre (AQMS),Roadside,90.4,75.3,47.1,84.5,63.8,50.7,48.9,87.7,62.9,51.8,53.0,45.1,60.98
HF44,Shepherds Bush Road,Roadside,90.4,51.0,30.0,39.9,29.6,25.7,22.5,30.8,30.9,28.9,32.0,39.9,32.84
HF46,Hammersmith Road (east),Roadside,90.4,73.0,49.8,68.7,46.8,54.6,45.6,59.6,58.04,58.04,51.9,40.0,55.1
HF47,Harrow Road,Roadside,90.4,48.2,38.5,42.9,28.6,40.02727272727273,22.0,34.3,33.7,36.5,35.9,29.3,35.45
HF48,Scrubs Lane,Roadside,90.4,64.1,47.4,52.7,38.6,35.9,29.7,3.0,42.5,40.5,40.6,47.2,40.2
HF51,Dawes Road,Roadside,90.4,58.8,33.0,49.2,34.9,28.8,29.0,35.2,35.7,32.2,38.5,37.1,37.49
HF52,Harwood Road,Roadside,90.4,72.9,51.1,61.6,47.4,53.6,50.4,59.6,55.4,54.7,55.7,56.4,56.25
HF54,Waterford Road,Roadside,90.4,42.8,23.8,32.4,21.5,19.1,16.8,18.4,26.3,22.3,31.380000000000003,31.380000000000003,26.01
HF55,Hurlingham Road,Roadside,90.4,44.3,12.7,34.2,21.1,19.9,18.5,22.2,25.6,25.7,29.4,33.7,26.12
