date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temp_C,percent_humidity,precipitation,rain,snowfall,surface_pressure,wind_speed_10m,wind_speed_100m,wind_direction,day,month,hour
2021-01-01 12:00:00,2,320.44,13.19,46.61,2.33,28.61,16.74,17.83,1.98,1.4,92,0.0,0.0,0.0,1010.4,8.3,10.5,265,4,1,12
2021-01-01 13:00:00,2,323.77,15.65,43.87,2.12,24.08,16.56,17.74,1.44,2.1,91,0.0,0.0,0.0,1010.0,9.4,11.9,270,4,1,13
2021-01-01 14:00:00,2,323.77,17.43,43.18,1.43,21.22,15.27,16.5,1.24,2.5,91,0.0,0.0,0.0,1010.0,9.4,12.6,263,4,1,14
2021-01-01 15:00:00,2,327.11,18.33,44.55,0.65,19.31,13.24,14.59,1.03,2.8,92,0.0,0.0,0.0,1010.1,8.3,13.3,252,4,1,15
2021-01-01 16:00:00,2,330.45,17.43,45.93,0.1,17.41,10.69,12.15,0.82,2.7,95,0.0,0.0,0.0,1010.5,6.5,15.0,267,4,1,16
2021-01-01 17:00:00,2,323.77,14.53,47.3,0.04,15.74,7.85,9.31,0.71,3.2,94,0.0,0.0,0.0,1010.6,6.8,15.9,288,4,1,17
2021-01-01 18:00:00,2,310.42,11.06,49.35,0.26,14.66,6.31,7.63,0.66,3.5,94,0.0,0.0,0.0,1011.0,7.7,17.3,307,4,1,18
2021-01-01 19:00:00,2,307.08,8.61,50.72,0.68,15.14,6.21,7.32,0.62,3.7,94,0.2,0.2,0.0,1011.4,8.4,18.8,329,4,1,19
2021-01-01 20:00:00,2,310.42,6.87,49.35,1.11,15.74,6.32,7.38,0.59,4.0,94,0.2,0.2,0.0,1011.9,9.4,20.3,337,4,1,20
2021-01-01 21:00:00,2,303.75,4.92,45.24,1.97,15.14,6.0,7.15,0.56,4.1,94,0.0,0.0,0.0,1012.5,10.0,21.5,345,4,1,21
2021-01-01 22:00:00,2,300.41,3.27,41.13,3.53,14.31,5.68,6.92,0.53,4.2,93,0.0,0.0,0.0,1013.0,9.8,19.8,343,4,1,22
2021-01-01 23:00:00,1,290.39,1.82,37.7,6.17,13.11,5.24,6.62,0.48,4.2,92,0.0,0.0,0.0,1013.2,10.2,19.9,342,4,1,23
2021-01-02 00:00:00,1,273.71,0.5,31.19,12.52,10.73,4.44,5.83,0.37,3.9,94,0.0,0.0,0.0,1013.3,7.4,17.0,331,5,1,0
