Data download from AQ England website,,,,,,,,,,,,,
Status: P - Provisional data, P* - Ratified by Data Provider, R - Ratified Data,V - Validated,A - As supplied,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hourly Data,Hourly Data,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre
End Date,End Time,PM10,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
01/01/2020,01:00:00,45,R ugm-3 (Ref.eq),121.60634,R ugm-3,46.59103,R ugm-3,233.05148,R ugm-3,7.58974,R ugm-3,42,R ugm-3 (BAM)
01/01/2020,02:00:00,58.3,R ugm-3 (Ref.eq),140.97325,R ugm-3,54.26324,R ugm-3,270.41922,R ugm-3,2.77934,R ugm-3,50,R ugm-3 (BAM)
01/01/2020,03:00:00,49.2,R ugm-3 (Ref.eq),120.0215,R ugm-3,51.07085,R ugm-3,235.10124,R ugm-3,6.05308,R ugm-3,47,R ugm-3 (BAM)
01/01/2020,04:00:00,43.3,R ugm-3 (Ref.eq),59.16019,R ugm-3,37.28095,R ugm-3,127.99197,R ugm-3,7.77681,R ugm-3,47,R ugm-3 (BAM)
01/01/2020,05:00:00,39.2,R ugm-3 (Ref.eq),53.63047,R ugm-3,36.26872,R ugm-3,118.50096,R ugm-3,7.22896,R ugm-3,39,R ugm-3 (BAM)
01/01/2020,06:00:00,37.5,R ugm-3 (Ref.eq),60.20239,R ugm-3,41.98749,R ugm-3,134.29654,R ugm-3,4.73022,R ugm-3,40,R ugm-3 (BAM)
01/01/2020,07:00:00,38.3,R ugm-3 (Ref.eq),68.28163,R ugm-3,31.41943,R ugm-3,136.11647,R ugm-3,6.36041,R ugm-3,40,R ugm-3 (BAM)
01/01/2020,08:00:00,35.8,R ugm-3 (Ref.eq),77.14468,R ugm-3,53.99856,R ugm-3,172.28542,R ugm-3,5.4451,R ugm-3,38,R ugm-3 (BAM)
01/01/2020,09:00:00,50.8,R ugm-3 (Ref.eq),95.27129,R ugm-3,55.39836,R ugm-3,201.47897,R ugm-3,4.20242,R ugm-3,41,R ugm-3 (BAM)
01/01/2020,10:00:00,36.7,R ugm-3 (Ref.eq),126.92933,R ugm-3,48.14384,R ugm-3,242.7661,R ugm-3,5.46515,R ugm-3,34,R ugm-3 (BAM)
01/01/2020,11:00:00,37.5,R ugm-3 (Ref.eq),105.57706,R ugm-3,50.28,R ugm-3,212.16256,R ugm-3,6.22679,R ugm-3,37,R ugm-3 (BAM)
01/01/2020,12:00:00,40,R ugm-3 (Ref.eq),139.94397,R ugm-3,54.02152,R ugm-3,268.59928,R ugm-3,3.74142,R ugm-3,42,R ugm-3 (BAM)
01/01/2020,13:00:00,37.5,R ugm-3 (Ref.eq),60.65459,R ugm-3,36.98342,R ugm-3,129.98583,R ugm-3,7.66991,R ugm-3,43,R ugm-3 (BAM)
