End Date,End Time,PM10,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units,
01/01/2024,01:00:00,7.5,P ugm-3 (Ref.eq),1.76780,P ugm-3,5.52460,P ugm-3,8.23518,P ugm-3,68.01299,P ugm-3,9.0,P ugm-3 (BAM),
01/01/2024,02:00:00,6.7,P ugm-3 (Ref.eq),1.75518,P ugm-3,7.51454,P ugm-3,10.20577,P ugm-3,,,6.0,P ugm-3 (BAM),
01/01/2024,03:00:00,6.7,P ugm-3 (Ref.eq),1.49946,P ugm-3,6.81026,P ugm-3,9.10939,P ugm-3,65.97210,P ugm-3,4.0,P ugm-3 (BAM),
01/01/2024,04:00:00,5.8,P ugm-3 (Ref.eq),1.40542,P ugm-3,6.12390,P ugm-3,8.27884,P ugm-3,66.48315,P ugm-3,6.0,P ugm-3 (BAM),
01/01/2024,05:00:00,2.5,P ugm-3 (Ref.eq),1.30462,P ugm-3,5.23058,P ugm-3,7.23096,P ugm-3,67.49762,P ugm-3,5.0,P ugm-3 (BAM),
01/01/2024,06:00:00,7.5,P ugm-3 (Ref.eq),1.90168,P ugm-3,7.64126,P ugm-3,10.55712,P ugm-3,65.45687,P ugm-3,3.0,P ugm-3 (BAM),
01/01/2024,07:00:00,5.0,P ugm-3 (Ref.eq),1.79872,P ugm-3,7.97641,P ugm-3,10.73440,P ugm-3,64.11476,P ugm-3,2.0,P ugm-3 (BAM),
01/01/2024,08:00:00,9.2,P ugm-3 (Ref.eq),2.06436,P ugm-3,11.84515,P ugm-3,15.01046,P ugm-3,61.59873,P ugm-3,4.0,P ugm-3 (BAM),
01/01/2024,09:00:00,7.5,P ugm-3 (Ref.eq),2.38705,P ugm-3,13.03919,P ugm-3,16.69928,P ugm-3,60.41348,P ugm-3,5.0,P ugm-3 (BAM),
01/01/2024,10:00:00,9.2,P ugm-3 (Ref.eq),1.90837,P ugm-3,10.58259,P ugm-3,13.50871,P ugm-3,61.91001,P ugm-3,6.0,P ugm-3 (BAM),
01/01/2024,11:00:00,6.7,P ugm-3 (Ref.eq),2.80761,P ugm-3,10.36011,P ugm-3,14.66505,P ugm-3,61.26719,P ugm-3,3.0,P ugm-3 (BAM),
01/01/2024,12:00:00,4.2,P ugm-3 (Ref.eq),3.24379,P ugm-3,15.08058,P ugm-3,20.05432,P ugm-3,60.78698,P ugm-3,2.0,P ugm-3 (BAM),
01/01/2024,13:00:00,4.2,P ugm-3 (Ref.eq),4.74375,P ugm-3,13.46300,P ugm-3,20.73664,P ugm-3,60.28047,P ugm-3,3.0,P ugm-3 (BAM),
01/01/2024,14:00:00,4.2,P ugm-3 (Ref.eq),12.86608,P ugm-3,25.70975,P ugm-3,45.43747,P ugm-3,51.84729,P ugm-3,3.0,P ugm-3 (BAM),
01/01/2024,15:00:00,6.7,P ugm-3 (Ref.eq),15.18136,P ugm-3,31.28278,P ugm-3,54.56054,P ugm-3,42.03568,P ugm-3,3.0,P ugm-3 (BAM),
01/01/2024,16:00:00,11.7,P ugm-3 (Ref.eq),23.87626,P ugm-3,32.56094,P ugm-3,69.17069,P ugm-3,35.80371,P ugm-3,8.0,P ugm-3 (BAM),
01/01/2024,17:00:00,10.0,P ugm-3 (Ref.eq),55.19876,P ugm-3,80.51485,P ugm-3,165.15177,P ugm-3,35.62514,P ugm-3,6.0,P ugm-3 (BAM),
01/01/2024,18:00:00,8.3,P ugm-3 (Ref.eq),17.02696,P ugm-3,37.14236,P ugm-3,63.25000,P ugm-3,44.28154,P ugm-3,5.0,P ugm-3 (BAM),
01/01/2024,19:00:00,5.0,P ugm-3 (Ref.eq),4.59487,P ugm-3,19.04917,P ugm-3,26.09453,P ugm-3,52.64148,P ugm-3,5.0,P ugm-3 (BAM),
01/01/2024,20:00:00,2.5,P ugm-3 (Ref.eq),6.08948,P ugm-3,13.89845,P ugm-3,23.23551,P ugm-3,59.62179,P ugm-3,1.0,P ugm-3 (BAM),
01/01/2024,21:00:00,3.3,P ugm-3 (Ref.eq),9.59203,P ugm-3,19.01212,P ugm-3,33.71969,P ugm-3,58.48948,P ugm-3,-3.0,P ugm-3 (BAM),
01/01/2024,22:00:00,1.7,P ugm-3 (Ref.eq),4.48418,P ugm-3,18.50367,P ugm-3,25.37931,P ugm-3,59.96550,P ugm-3,3.0,P ugm-3 (BAM),
01/01/2024,23:00:00,0.0,P ugm-3 (Ref.eq),7.50136,P ugm-3,18.04249,P ugm-3,29.54440,P ugm-3,63.62855,P ugm-3,5.0,P ugm-3 (BAM),
