dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1606266000,1,216.96,0.0,8.82,63.66,3.46,5.03,6.36,0.74
1606269600,1,216.96,0.0,7.71,64.37,3.37,5.84,7.35,0.71
1606273200,1,216.96,0.0,7.28,64.37,3.52,6.03,7.92,0.65
1606276800,1,216.96,0.0,7.28,63.66,3.73,6.13,8.45,0.58
1606280400,1,216.96,0.0,7.88,60.08,3.93,6.38,9.09,0.52
1606284000,1,220.3,0.0,9.17,54.36,4.29,6.73,9.86,0.46
1606287600,1,223.64,0.01,13.54,46.49,5.31,6.77,9.81,0.46
1606291200,1,226.97,0.02,17.14,40.77,5.84,5.93,8.12,0.38
1606294800,1,223.64,0.08,16.62,40.05,5.54,5.35,6.96,0.28
1606298400,1,216.96,0.16,13.37,43.63,4.83,4.79,6.07,0.24
1606302000,1,211.95,0.38,11.14,45.78,4.53,5.06,6.37,0.23
1606305600,1,206.95,0.6,10.54,47.92,4.59,5.31,6.83,0.22
1606309200,1,205.28,0.69,12.17,46.49,5.07,5.02,6.42,0.2
1606312800,1,208.62,0.54,16.97,40.05,6.5,5.3,6.5,0.19
1606316400,1,216.96,0.24,22.62,32.19,8.23,5.73,6.7,0.19
1606320000,1,230.31,0.33,30.5,18.24,10.49,6.39,7.14,0.24
1606323600,1,247.0,2.49,35.64,4.34,12.16,6.7,7.35,0.37
1606327200,1,260.35,6.15,38.04,0.79,14.31,6.36,7.01,0.5
1606330800,2,270.37,7.26,44.55,0.62,16.69,6.15,6.97,0.63
1606334400,2,280.38,6.82,50.04,0.77,18.6,6.42,7.44,0.7
1606338000,2,283.72,5.2,53.47,1.38,19.55,7.16,8.31,0.64
1606341600,2,287.06,4.3,54.84,1.88,20.5,7.96,9.22,0.6
1606345200,2,287.06,4.14,54.15,1.81,20.74,8.55,9.89,0.56
1606348800,2,277.04,2.4,50.04,3.0,19.31,8.32,9.77,0.45
1606352400,2,273.71,2.63,46.61,2.41,15.97,7.97,9.63,0.38
1606356000,2,277.04,5.48,45.24,0.5,13.35,8.16,10.01,0.36
1606359600,2,287.06,8.38,44.55,0.12,12.28,8.71,10.76,0.33
1606363200,2,293.73,10.28,45.24,0.06,12.04,9.3,11.55,0.31
1606366800,2,293.73,10.62,45.24,0.08,12.88,9.53,11.98,0.29
1606370400,2,300.41,10.84,46.61,0.16,15.74,10.27,12.94,0.27
1606374000,2,320.44,16.54,50.72,0.09,22.41,12.48,15.47,0.37
