date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1609502400,2,320.44,13.19,46.61,2.33,28.61,16.74,17.83,1.98
1609506000,2,323.77,15.65,43.87,2.12,24.08,16.56,17.74,1.44
1609509600,2,323.77,17.43,43.18,1.43,21.22,15.27,16.5,1.24
1609513200,2,327.11,18.33,44.55,0.65,19.31,13.24,14.59,1.03
1609516800,2,330.45,17.43,45.93,0.1,17.41,10.69,12.15,0.82
1609520400,2,323.77,14.53,47.3,0.04,15.74,7.85,9.31,0.71
1609524000,2,310.42,11.06,49.35,0.26,14.66,6.31,7.63,0.66
1609527600,2,307.08,8.61,50.72,0.68,15.14,6.21,7.32,0.62
1609531200,2,310.42,6.87,49.35,1.11,15.74,6.32,7.38,0.59
1609534800,2,303.75,4.92,45.24,1.97,15.14,6.0,7.15,0.56
1609538400,2,300.41,3.27,41.13,3.53,14.31,5.68,6.92,0.53
1609542000,1,290.39,1.82,37.7,6.17,13.11,5.24,6.62,0.48
1609545600,1,273.71,0.5,31.19,12.52,10.73,4.44,5.83,0.37
1609549200,1,257.02,0.11,23.65,20.74,8.23,3.9,5.36,0.29
1609552800,1,250.34,0.05,19.36,25.75,6.97,3.76,5.25,0.25
1609556400,1,247.0,0.04,17.65,27.54,6.8,3.7,5.13,0.24
1609560000,1,247.0,0.04,16.97,27.9,6.86,3.57,4.85,0.22
1609563600,1,247.0,0.05,16.97,27.54,7.21,3.4,4.51,0.22
1609567200,1,250.34,0.08,18.51,25.03,7.99,3.37,4.39,0.25
1609570800,1,260.35,0.35,25.02,18.77,10.01,4.18,5.27,0.34
1609574400,1,277.04,1.22,34.27,10.82,12.28,5.12,6.35,0.48
1609578000,1,287.06,2.54,39.41,5.9,13.71,5.72,7.02,0.59
1609581600,1,290.39,5.53,38.39,6.88,15.02,6.23,7.55,0.65
1609585200,1,290.39,9.05,33.59,12.52,15.74,6.38,7.66,0.67
1609588800,1,280.38,9.5,28.79,18.95,14.9,5.89,7.07,0.65
1609592400,1,267.03,6.31,23.99,27.18,11.92,4.65,5.6,0.59
1609596000,1,263.69,4.36,26.05,25.75,11.92,4.41,5.32,0.64
1609599600,1,267.03,2.77,31.53,18.95,13.35,4.72,5.69,0.7
1609603200,2,287.06,3.21,43.18,6.97,15.14,5.82,6.98,0.73
1609606800,2,310.42,10.39,50.04,0.53,15.14,7.38,8.75,0.71
1609610400,2,330.45,18.55,52.09,0.05,14.31,8.66,10.15,0.71
1609614000,2,350.48,24.14,54.84,0.01,15.02,10.18,11.76,0.75
1609617600,2,363.83,25.93,55.52,0.01,21.46,11.47,13.15,1.41
1609621200,2,360.49,23.47,52.78,0.01,24.08,11.78,13.51,1.71
1609624800,2,353.81,20.56,48.67,0.01,25.27,11.82,13.55,2.03
1609628400,2,347.14,19.0,45.93,0.01,25.03,11.93,13.6,2.25
1609632000,2,327.11,13.08,43.18,0.06,20.98,10.98,12.41,2.03
1609635600,2,303.75,6.99,40.1,0.45,16.93,9.72,10.89,1.69
1609639200,1,293.73,3.07,36.67,2.26,15.26,8.84,9.8,1.52
1609642800,1,283.72,1.1,32.56,6.71,14.42,7.93,8.78,1.28
1609646400,1,280.38,0.45,28.45,12.16,12.99,6.85,7.6,0.78
1609650000,1,273.71,0.29,25.36,15.91,11.92,5.85,6.54,0.49
1609653600,1,273.71,0.32,24.33,16.99,12.28,5.21,5.87,0.47
1609657200,1,283.72,1.27,30.5,11.0,13.71,5.58,6.24,0.61
1609660800,1,303.75,4.47,37.7,3.49,13.59,6.24,6.9,0.57
1609664400,1,310.42,7.26,37.01,1.21,14.19,5.96,6.61,0.59
1609668000,1,303.75,5.53,30.16,2.62,13.83,4.94,5.62,0.55
1609671600,1,300.41,6.04,24.68,4.16,13.47,4.59,5.39,0.51
1609675200,1,297.07,5.81,21.25,6.08,11.92,4.35,5.21,0.46
1609678800,1,287.06,4.81,20.05,9.03,9.18,4.16,4.94,0.39
1609682400,1,287.06,5.03,21.08,9.74,9.18,4.1,4.83,0.42
1609686000,1,290.39,4.58,22.96,8.32,9.54,4.16,4.83,0.44
1609689600,1,297.07,3.49,28.1,4.25,9.89,4.64,5.26,0.47
1609693200,1,307.08,3.86,34.62,2.15,10.13,5.7,6.3,0.44
1609696800,2,313.76,3.69,40.44,2.68,10.37,6.8,7.38,0.41
1609700400,1,313.76,1.96,39.41,6.88,10.49,6.58,7.12,0.41
1609704000,1,300.41,0.67,32.9,14.48,10.13,5.09,5.64,0.43
1609707600,1,290.39,0.26,27.08,21.64,9.06,4.08,4.71,0.44
1609711200,1,280.38,0.1,22.28,29.33,7.99,3.36,4.09,0.44
1609714800,1,273.71,0.07,19.19,30.76,6.86,3.05,3.88,0.38
1609718400,1,280.38,0.07,17.31,25.39,5.42,3.22,4.18,0.29
1609722000,1,290.39,0.16,18.17,19.49,5.9,3.76,4.89,0.28
1609725600,1,293.73,0.19,18.51,17.7,6.62,3.75,5.06,0.3
1609729200,1,290.39,0.16,16.11,19.67,6.91,3.21,4.69,0.32
1609732800,1,277.04,0.09,12.68,25.03,7.09,2.46,4.05,0.32
1609736400,1,277.04,0.07,11.31,28.25,7.15,2.11,3.75,0.32
1609740000,1,287.06,0.13,12.17,23.25,7.27,2.31,3.97,0.33
1609743600,1,307.08,0.67,16.11,13.59,8.11,2.76,3.97,0.38
1609747200,1,307.08,1.24,20.05,10.1,8.94,3.0,3.82,0.4
1609750800,1,297.07,0.68,20.91,15.74,9.06,2.74,3.32,0.38
1609754400,1,293.73,0.48,19.02,23.25,8.7,2.28,2.7,0.33
1609758000,1,287.06,0.56,17.48,29.33,8.58,1.98,2.35,0.29
1609761600,1,280.38,0.59,15.94,33.26,8.35,1.82,2.21,0.27
1609765200,1,273.71,0.54,15.25,35.76,7.87,1.75,2.19,0.26
1609768800,1,267.03,0.36,15.08,37.91,7.63,1.69,2.21,0.27
1609772400,1,263.69,0.16,14.57,40.41,7.33,1.59,2.25,0.27
1609776000,1,260.35,0.05,14.57,42.92,7.09,1.56,2.63,0.31
1609779600,1,260.35,0.03,16.28,43.99,7.27,1.6,3.11,0.37
1609783200,1,260.35,0.03,18.51,44.35,7.63,1.71,3.39,0.42
1609786800,1,257.02,0.04,19.54,42.56,8.11,1.91,3.43,0.46
1609790400,1,257.02,0.05,18.85,39.7,8.23,2.01,3.35,0.47
1609794000,1,257.02,0.06,17.31,37.91,7.87,1.94,3.27,0.48
1609797600,1,260.35,0.05,16.45,38.27,7.63,1.86,3.27,0.49
1609801200,1,257.02,0.03,14.91,40.77,7.15,1.66,3.02,0.46
1609804800,1,250.34,0.01,11.31,45.42,5.9,1.23,2.36,0.38
1609808400,1,247.0,0.01,9.51,47.21,5.6,1.01,1.97,0.35
1609812000,1,247.0,0.01,9.08,45.06,5.72,0.97,1.85,0.35
1609815600,1,250.34,0.02,9.08,41.13,5.96,0.98,1.83,0.34
1609819200,1,253.68,0.02,9.25,38.62,6.2,1.02,1.84,0.33
1609822800,1,250.34,0.02,9.34,39.34,6.5,1.08,1.86,0.32
1609826400,1,250.34,0.02,10.45,40.77,7.03,1.23,2.06,0.33
1609830000,1,257.02,0.07,15.77,37.19,8.7,1.75,2.64,0.42
1609833600,1,267.03,0.14,21.76,32.19,9.89,2.22,3.09,0.48
1609837200,1,267.03,0.16,23.31,31.47,10.25,2.28,3.06,0.48
1609840800,1,263.69,0.2,21.59,33.98,10.13,2.17,2.76,0.42
1609844400,1,260.35,0.35,19.71,35.05,10.01,2.02,2.42,0.36
1609848000,1,260.35,0.54,18.17,32.54,9.66,1.89,2.19,0.31
1609851600,1,260.35,0.68,17.48,29.68,9.06,1.82,2.1,0.29
1609855200,1,263.69,0.64,17.82,27.54,9.06,1.82,2.09,0.29
1609858800,1,263.69,0.43,17.99,27.54,8.94,1.79,2.05,0.29
1609862400,1,263.69,0.18,17.99,29.33,8.58,1.75,2.0,0.28
1609866000,1,260.35,0.12,19.02,30.4,8.23,1.78,2.03,0.3
1609869600,1,263.69,0.13,20.56,29.68,8.35,1.91,2.18,0.33
1609873200,1,267.03,0.18,21.42,27.18,8.7,2.13,2.46,0.35
1609876800,1,270.37,0.24,21.25,24.32,9.06,2.31,2.71,0.38
1609880400,1,270.37,0.24,20.05,23.25,8.82,2.31,2.79,0.37
1609884000,1,270.37,0.24,19.36,22.89,8.7,2.31,2.82,0.37
1609887600,1,270.37,0.21,18.51,23.25,8.35,2.2,2.64,0.34
1609891200,1,263.69,0.11,14.91,25.03,7.09,1.8,2.15,0.27
1609894800,1,263.69,0.08,12.34,25.75,6.56,1.58,1.98,0.25
1609898400,1,263.69,0.09,11.48,25.03,6.56,1.58,2.05,0.26
1609902000,1,267.03,0.1,10.97,23.6,6.62,1.6,2.06,0.25
1609905600,1,270.37,0.12,10.97,21.82,6.86,1.53,1.85,0.22
1609909200,1,270.37,0.15,11.48,20.21,7.39,1.37,1.58,0.19
1609912800,1,273.71,0.23,13.37,18.42,8.35,1.47,1.62,0.2
1609916400,1,287.06,0.77,20.39,13.23,10.97,2.19,2.34,0.29
1609920000,1,307.08,2.46,30.5,6.35,14.07,3.32,3.51,0.41
1609923600,1,317.1,4.41,36.67,3.13,15.97,4.2,4.45,0.48
1609927200,1,320.44,5.09,38.04,3.8,17.41,4.7,5.07,0.52
1609930800,1,310.42,4.36,35.64,8.32,17.64,4.53,5.05,0.55
1609934400,1,293.73,3.33,30.85,14.84,15.97,3.59,4.23,0.54
1609938000,1,280.38,3.1,24.33,22.17,13.23,2.66,3.43,0.53
1609941600,1,280.38,3.69,23.99,24.68,13.47,2.72,3.91,0.55
1609945200,1,280.38,3.19,26.39,25.03,14.19,2.85,4.44,0.56
1609948800,1,290.39,1.62,35.3,17.17,16.45,3.37,5.17,0.61
1609952400,2,303.75,2.32,43.53,7.15,17.64,4.1,5.81,0.67
1609956000,2,317.1,6.59,44.55,1.79,17.17,4.73,6.21,0.71
1609959600,2,333.79,12.29,41.81,0.29,16.93,5.41,6.71,0.76
1609963200,1,343.8,14.98,39.41,0.12,16.93,5.93,7.18,0.78
1609966800,1,343.8,13.86,38.73,0.17,16.45,6.0,7.32,0.77
1609970400,1,350.48,16.09,37.36,0.09,21.22,6.8,8.14,1.33
1609974000,1,363.83,20.79,36.67,0.01,22.65,7.78,9.01,1.5
1609977600,1,353.81,17.88,35.64,0.02,19.79,6.99,8.1,1.27
1609981200,1,330.45,11.85,35.64,0.14,18.12,6.05,7.1,1.25
1609984800,1,320.44,6.93,36.33,0.61,17.64,5.77,6.88,1.36
1609988400,1,317.1,3.86,35.99,1.81,17.17,5.9,7.08,1.49
1609992000,1,317.1,2.18,34.62,4.02,16.93,6.17,7.38,1.65
1609995600,1,317.1,1.55,33.59,6.08,17.17,6.54,7.77,1.82
1609999200,1,317.1,1.98,36.33,5.99,18.6,7.33,8.61,2.03
1610002800,2,343.8,9.61,44.55,1.22,24.8,9.7,11.17,2.69
1610006400,2,380.52,24.14,50.72,0.03,30.99,12.44,14.08,3.48
1610010000,2,397.21,31.74,53.47,0.07,32.9,13.41,15.13,3.96
1610013600,2,390.53,31.29,50.72,0.89,32.42,13.06,14.79,3.99
1610017200,2,380.52,30.4,46.61,2.01,31.95,12.83,14.64,3.8
1610020800,2,360.49,24.14,43.87,3.26,28.85,11.65,13.49,2.95
1610024400,2,323.77,12.07,41.81,7.6,20.27,8.99,10.59,1.65
1610028000,2,320.44,10.95,40.1,6.44,18.84,8.05,9.41,1.65
1610031600,1,327.11,13.08,38.39,2.79,21.94,8.09,9.32,2.38
1610035200,1,333.79,15.87,36.33,0.43,24.08,8.65,9.75,2.95
1610038800,1,337.12,17.88,34.27,0.02,24.08,9.35,10.33,3.04
1610042400,1,337.12,18.77,33.93,0.02,23.37,9.74,10.65,3.01
1610046000,2,340.46,18.77,33.93,0.02,23.6,10.19,11.07,2.91
1610049600,2,340.46,17.21,33.59,0.03,23.6,10.6,11.53,2.82
1610053200,2,333.79,14.08,32.9,0.08,22.65,10.43,11.36,2.63
1610056800,2,330.45,12.07,32.56,0.06,21.94,10.1,11.01,2.57
1610060400,1,333.79,11.96,32.56,0.04,21.22,9.61,10.46,2.57
1610064000,1,323.77,9.39,30.5,0.12,18.36,8.16,8.87,2.25
1610067600,1,317.1,7.04,29.47,0.22,16.21,7.35,7.95,2.03
1610071200,1,317.1,6.15,30.16,0.27,14.66,7.7,8.3,2.06
1610074800,1,317.1,5.53,31.19,0.37,13.71,8.8,9.43,2.09
1610078400,2,323.77,5.53,32.56,0.4,13.11,10.16,10.82,2.09
1610082000,2,333.79,6.76,33.24,0.26,13.47,11.66,12.36,2.06
1610085600,2,347.14,10.62,33.93,0.08,15.26,13.33,14.07,2.19
1610089200,2,390.53,25.93,35.3,0.0,22.65,16.82,17.73,2.91
1610092800,3,440.6,47.83,37.7,0.0,31.47,20.9,22.08,3.86
1610096400,3,473.98,63.48,39.07,0.02,38.15,23.6,25.04,4.5
1610100000,3,494.0,70.63,39.76,0.32,43.87,24.99,26.65,4.56
1610103600,4,527.38,84.04,41.81,0.67,44.82,27.79,29.65,3.2
1610107200,4,594.14,108.18,46.61,0.76,56.27,32.58,34.7,2.69
1610110800,4,587.46,100.14,50.04,0.96,61.99,31.44,33.25,1.87
1610114400,4,580.79,99.24,53.47,0.73,61.04,30.33,32.12,1.5
1610118000,4,580.79,95.67,57.58,0.4,57.7,28.5,30.28,1.25
1610121600,4,567.44,91.2,61.01,0.08,49.59,26.87,28.69,1.09
1610125200,3,534.06,82.25,59.63,0.0,38.62,24.73,26.58,0.97
1610128800,3,473.98,67.95,51.41,0.0,29.33,21.23,22.97,0.91
1610132400,2,433.92,58.12,45.24,0.0,24.32,19.79,21.28,0.9
1610136000,2,420.57,49.62,45.93,0.0,25.03,19.98,21.15,1.08
1610139600,2,417.23,41.57,48.67,0.0,31.47,19.85,20.77,1.76
1610143200,2,400.54,30.85,50.72,0.0,30.99,18.2,18.97,1.76
1610146800,2,380.52,21.68,52.09,0.02,27.66,15.97,16.68,1.47
1610150400,2,353.81,12.63,51.41,0.15,17.64,13.49,14.14,0.63
1610154000,2,323.77,5.03,47.98,1.14,12.99,11.51,12.12,0.38
1610157600,2,307.08,1.73,42.5,4.43,14.9,10.74,11.29,0.74
1610161200,2,297.07,0.69,37.36,9.48,15.97,10.51,11.02,1.17
1610164800,1,293.73,0.39,34.62,13.59,16.21,9.91,10.38,1.5
1610168400,1,290.39,0.33,34.27,15.74,16.69,9.29,9.71,1.77
1610172000,1,297.07,0.49,37.36,15.02,18.6,9.25,9.67,2.09
1610175600,2,320.44,2.91,50.04,6.8,24.32,10.62,11.13,2.76
1610179200,2,367.17,13.3,65.12,0.64,32.42,13.23,13.88,3.64
1610182800,2,410.56,27.27,76.77,0.1,40.05,15.78,16.56,4.37
1610186400,2,440.6,37.55,82.25,1.1,45.3,17.35,18.28,4.69
1610190000,2,447.27,42.02,82.25,3.13,47.68,17.53,18.61,4.37
1610193600,2,433.92,40.23,79.51,5.68,38.15,16.89,18.14,2.31
1610197200,2,427.25,38.89,78.14,8.14,36.24,16.77,18.19,1.55
